"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"p.gladiatorship";"p.taming";"p.alignment"
"1463856673.73611";"около 4 тысяч";"77";"нейтральный";"1001";"404";"0";"0";"0"
"1463860533.0163";"около 4 тысяч";"77";"нейтральный";"1002";"404";"0";"0";"0"
"1463903717.65424";"около 5 тысяч";"77";"нейтральный";"1002";"404";"0";"0";"0"
"1463946925.47972";"около 8 тысяч";"77";"нейтральный";"1003";"404";"0";"0";"0"
"1463990117.50683";"около 8 тысяч";"77";"нейтральный";"1003";"404";"0";"0";"0"
"1464033324.55116";"около 12 тысяч";"77";"нейтральный";"1003";"404";"2";"0";"0";"0"
"1464076519.19209";"около 12 тысяч";"77";"нейтральный";"1003";"404";"2";"0";"0";"0"
"1464119717.96253";"около 6 тысяч";"77";"нейтральный";"1004";"404";"2";"0";"0";"0"
"1464162917.18742";"около 4 тысяч";"77";"нейтральный";"1004";"404";"2";"0";"0";"0"
"1464206122.71996";"около 10 тысяч";"77";"нейтральный";"1005";"404";"";"0";"0";"0"
"1464249316.84446";"около 10 тысяч";"77";"нейтральный";"1005";"404";"";"0";"0";"0"
"1464292522.2702";"ни одного";"77";"нейтральный";"1006";"404";"3";"0";"0";"0"
