"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"p.gladiatorship";"p.taming";"p.alignment"
"1463856534.02478";"около 14 тысяч";"50";"нейтральный";"2";"296";"0";"0";"0"
"1463860393.5483";"около 14 тысяч";"50";"нейтральный";"2";"296";"0";"0";"0"
"1463903578.27302";"около 9 тысяч";"50";"нейтральный";"3";"296";"0";"0";"0"
"1463946786.07928";"около тысячи";"50";"нейтральный";"4";"296";"0";"0";"0"
"1463989977.95875";"около 11 тысяч";"50";"нейтральный";"4";"296";"0";"0";"0"
"1464033184.88047";"около 19 тысяч";"50";"нейтральный";"5";"296";"0";"0";"0"
"1464076379.74491";"около 16 тысяч";"50";"нейтральный";"6";"296";"0";"0";"0"
"1464119578.42799";"около 16 тысяч";"50";"нейтральный";"6";"296";"0";"0";"0"
"1464162777.67642";"около 12 тысяч";"50";"нейтральный";"12";"296";"0";"0";"0"
"1464205983.23822";"около 12 тысяч";"50";"нейтральный";"12";"296";"0";"0";"0"
"1464249177.32397";"около 8 тысяч";"51";"нейтральный";"13";"300";"0";"0";"0"
"1464292382.76527";"около 8 тысяч";"51";"нейтральный";"13";"300";"0";"0";"0"
