"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463857374.85834";"около 3 тысяч";"51";"миролюбивый";"15";"300";"12";"1 год 6 месяцев";"около 63 тысяч";"99";"18 / 6";"37054";"0";"16870";"12583";"32077";"18315";"7538"
"1463861231.86287";"около 4 тысяч";"51";"миролюбивый";"15";"300";"12";"1 год 6 месяцев";"около 63 тысяч";"99";"18 / 6";"37054";"0";"16930";"12603";"32083";"18356";"7692"
"1463904415.10445";"около 4 тысяч";"51";"миролюбивый";"15";"300";"12";"1 год 6 месяцев";"около 63 тысяч";"99";"18 / 6";"37054";"0";"16674";"12486";"31584";"18137";"8142"
"1463947624.40172";"около 3 тысяч";"51";"миролюбивый";"16";"300";"12";"1 год 6 месяцев";"около 64 тысяч";"99";"18 / 6";"37054";"0";"16883";"12566";"31982";"18327";"8279"
"1463990816.64418";"около 3 тысяч";"51";"миролюбивый";"16";"300";"12";"1 год 6 месяцев";"около 64 тысяч";"99";"18 / 6";"37054";"0";"16617";"12486";"31455";"18111";"8729"
