"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463857369.72149";"около 3 тысяч";"76";"нейтральный";"838";"400";"";"0";"0";"0"
"1463861226.69173";"около 3 тысяч";"76";"нейтральный";"838";"400";"";"0";"0";"0"
"1463904410.00036";"около 9 тысяч";"76";"нейтральный";"839";"400";"";"0";"0";"0"
"1463947619.28836";"около 9 тысяч";"76";"нейтральный";"839";"400";"";"0";"0";"0"
"1463990811.52571";"около 9 тысяч";"76";"нейтральный";"839";"400";"";"0";"0";"0"
