"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855452.1718";"около 5 тысяч";"86";"нейтральный";"1010";"440";"5 лет 7 месяцев";"около 290 тысяч";"184";"172 / 131";"3978";"5349";"3512";"3811";"0";"4058";"3325";"0"
"1463859316.78311";"около 5 тысяч";"86";"нейтральный";"1010";"440";"5 лет 7 месяцев";"около 290 тысяч";"184";"172 / 131";"3978";"5349";"3512";"3803";"0";"4060";"3326";"0"
"1463902502.19849";"около 5 тысяч";"86";"нейтральный";"1010";"440";"5 лет 7 месяцев";"около 290 тысяч";"184";"172 / 131";"3979";"5349";"3512";"3766";"0";"4031";"3320";"0"
"1463945709.42083";"около 4 тысяч";"86";"нейтральный";"1011";"440";"5 лет 7 месяцев";"около 290 тысяч";"184";"172 / 131";"3977";"5349";"3514";"3784";"0";"4056";"3319";"0"
"1463988901.94023";"около 17 тысяч";"86";"нейтральный";"1012";"440";"5 лет 7 месяцев";"около 290 тысяч";"184";"172 / 131";"3977";"5349";"3514";"3753";"0";"4008";"3309";"0"
"1464032105.9116";"около 3 тысяч";"86";"нейтральный";"1012";"440";"1";"5 лет 7 месяцев";"около 290 тысяч";"184";"172 / 131";"3966";"5349";"3516";"3774";"24311";"4040";"3318";"0"
"1464075300.70597";"около 18 сотен";"86";"нейтральный";"1013";"440";"1";"5 лет 7 месяцев";"около 290 тысяч";"184";"172 / 131";"3968";"5349";"3517";"3755";"23872";"4017";"3305";"0"
"1464118502.35371";"около 5 тысяч";"86";"нейтральный";"1014";"440";"2";"5 лет 7 месяцев";"около 290 тысяч";"184";"172 / 131";"3965";"5349";"3517";"3780";"24021";"4035";"3315";"0"
"1464161701.94844";"около 9 тысяч";"86";"нейтральный";"1015";"440";"2";"5 лет 8 месяцев";"около 290 тысяч";"184";"172 / 131";"3964";"5349";"3519";"3762";"23521";"3997";"3297";"0"
"1464204901.24467";"около сотни";"86";"нейтральный";"1015";"440";"2";"5 лет 8 месяцев";"около 291 тысяч";"185";"172 / 131";"3966";"5349";"3519";"3785";"23800";"4090";"3317";"0"
"1464248100.90036";"около 4 тысяч";"86";"нейтральный";"1017";"440";"3";"5 лет 8 месяцев";"около 291 тысяч";"185";"172 / 131";"3967";"5349";"3519";"3765";"22905";"4032";"3306";"0"
"1464291305.89482";"около 9 тысяч";"86";"нейтральный";"1017";"440";"3";"5 лет 8 месяцев";"около 291 тысяч";"185";"172 / 131";"3969";"5349";"3522";"3795";"23138";"4076";"3323";"0"
