"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.taming";"p.alignment"
"1463856565.46977";"около 3 тысяч";"61";"нейтральный";"6";"340";"";"6 лет 3 месяца";"около 111 тысяч";"119";"44 / 40";"23641";"36968";"0";"0";"0"
"1463860424.96408";"около 3 тысяч";"61";"нейтральный";"6";"340";"";"6 лет 3 месяца";"около 111 тысяч";"119";"44 / 40";"23642";"36968";"0";"0";"0"
"1463903609.68804";"около 3 тысяч";"61";"нейтральный";"6";"340";"";"6 лет 3 месяца";"около 111 тысяч";"119";"44 / 40";"23643";"36968";"0";"0";"0"
"1463946817.48798";"около 3 тысяч";"61";"нейтральный";"6";"340";"";"6 лет 3 месяца";"около 111 тысяч";"119";"44 / 40";"23656";"36968";"0";"0";"0"
"1463990009.37648";"около 3 тысяч";"61";"нейтральный";"6";"340";"";"6 лет 3 месяца";"около 111 тысяч";"119";"44 / 40";"23662";"36968";"0";"0";"0"
"1464033216.29581";"около 3 тысяч";"61";"нейтральный";"6";"340";"";"6 лет 3 месяца";"около 111 тысяч";"119";"44 / 40";"23668";"36968";"0";"0";"0"
"1464076411.13569";"около 3 тысяч";"61";"нейтральный";"6";"340";"";"6 лет 3 месяца";"около 111 тысяч";"119";"44 / 40";"23676";"36968";"0";"0";"0"
"1464119609.83672";"около 3 тысяч";"61";"нейтральный";"6";"340";"";"6 лет 3 месяца";"около 111 тысяч";"119";"44 / 40";"23680";"36968";"0";"0";"0"
"1464162809.12494";"около 3 тысяч";"61";"нейтральный";"6";"340";"";"6 лет 3 месяца";"около 111 тысяч";"119";"44 / 40";"23687";"36968";"0";"0";"0"
"1464206014.62608";"около 3 тысяч";"61";"нейтральный";"6";"340";"";"6 лет 3 месяца";"около 111 тысяч";"119";"44 / 40";"23696";"36968";"0";"0";"0"
"1464249208.72536";"около 3 тысяч";"61";"нейтральный";"6";"340";"";"6 лет 3 месяца";"около 111 тысяч";"119";"44 / 40";"23702";"36968";"0";"0";"0"
"1464292414.14783";"около 3 тысяч";"61";"нейтральный";"6";"340";"";"6 лет 3 месяца";"около 111 тысяч";"119";"44 / 40";"23712";"36968";"0";"0";"0"
