"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855308.77261";"около 3 тысяч";"74";"нейтральный";"798";"392";"";"5 лет 1 месяц";"около 189 тысяч";"185";"77 / 87";"10161";"15952";"16190";"7019";"0";"12227";"9015";"0"
"1463859173.64057";"около 3 тысяч";"74";"нейтральный";"798";"392";"";"5 лет 1 месяц";"около 189 тысяч";"185";"77 / 87";"10162";"15952";"16190";"7023";"0";"12239";"9024";"0"
"1463902359.08679";"около 3 тысяч";"74";"нейтральный";"798";"392";"";"5 лет 1 месяц";"около 189 тысяч";"185";"77 / 87";"10164";"15952";"16197";"0";"0"
"1463945560.91553";"около 3 тысяч";"74";"нейтральный";"798";"392";"";"5 лет 1 месяц";"около 189 тысяч";"185";"77 / 87";"10165";"15952";"16201";"0";"0"
"1463988758.7595";"около 3 тысяч";"74";"нейтральный";"798";"392";"";"5 лет 1 месяц";"около 189 тысяч";"185";"77 / 87";"10169";"15952";"16203";"0";"0"
"1464031962.41708";"около 3 тысяч";"74";"нейтральный";"798";"392";"";"5 лет 1 месяц";"около 189 тысяч";"185";"77 / 87";"10174";"15952";"16208";"0";"0"
"1464075157.60097";"около 3 тысяч";"74";"нейтральный";"798";"392";"";"5 лет 1 месяц";"около 189 тысяч";"185";"77 / 87";"10176";"15952";"16211";"0";"0"
"1464118359.17626";"около 3 тысяч";"74";"нейтральный";"798";"392";"";"5 лет 1 месяц";"около 189 тысяч";"185";"77 / 87";"10178";"15952";"16218";"0";"0"
"1464161558.83934";"около 3 тысяч";"74";"нейтральный";"798";"392";"";"5 лет 1 месяц";"около 189 тысяч";"185";"77 / 87";"10184";"15952";"16218";"0";"0"
"1464204758.07299";"около 3 тысяч";"74";"нейтральный";"798";"392";"";"5 лет 1 месяц";"около 189 тысяч";"185";"77 / 87";"10189";"15952";"16221";"0";"0"
"1464247957.43532";"около 3 тысяч";"74";"нейтральный";"798";"392";"";"5 лет 1 месяц";"около 189 тысяч";"185";"77 / 87";"10193";"15952";"16224";"0";"0"
"1464291162.58711";"около 3 тысяч";"74";"нейтральный";"798";"392";"";"5 лет 1 месяц";"около 189 тысяч";"185";"77 / 87";"10197";"15952";"16234";"0";"0"
