"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.taming";"p.alignment"
"1463854344.92141";"около 3 тысяч";"76";"нейтральный";"992";"400";"23";"4 года 10 месяцев";"около 214 тысяч";"138";"74 / 64";"8737";"10376";"14332";"0";"0"
"1463858201.45401";"около 3 тысяч";"76";"нейтральный";"992";"400";"23";"4 года 10 месяцев";"около 214 тысяч";"138";"74 / 64";"8737";"10376";"14332";"0";"0"
"1463901397.55165";"около 3 тысяч";"76";"нейтральный";"992";"400";"23";"4 года 10 месяцев";"около 214 тысяч";"138";"74 / 64";"8739";"10376";"14337";"0";"0"
"1463944599.01287";"около 3 тысяч";"76";"нейтральный";"992";"400";"23";"4 года 10 месяцев";"около 214 тысяч";"138";"74 / 64";"8742";"10376";"14339";"0";"0"
"1463987796.22747";"около 3 тысяч";"76";"нейтральный";"992";"400";"23";"4 года 10 месяцев";"около 214 тысяч";"138";"74 / 64";"8748";"10376";"14344";"0";"0"
"1464030999.17842";"около 3 тысяч";"76";"нейтральный";"992";"400";"23";"4 года 10 месяцев";"около 214 тысяч";"138";"74 / 64";"8748";"10376";"14349";"0";"0"
"1464074196.19505";"около 3 тысяч";"76";"нейтральный";"992";"400";"23";"4 года 10 месяцев";"около 214 тысяч";"138";"74 / 64";"8751";"10376";"14354";"0";"0"
"1464117396.63663";"около 3 тысяч";"76";"нейтральный";"992";"400";"23";"4 года 10 месяцев";"около 214 тысяч";"138";"74 / 64";"8752";"10376";"14361";"0";"0"
"1464160595.8555";"около 3 тысяч";"76";"нейтральный";"992";"400";"23";"4 года 10 месяцев";"около 214 тысяч";"138";"74 / 64";"8755";"10376";"14361";"0";"0"
"1464203795.90423";"около 2 сотен";"76";"нейтральный";"999";"400";"24";"4 года 10 месяцев";"около 215 тысяч";"139";"74 / 64";"8675";"10376";"14363";"5949";"5325";"4250";"5926";"0"
"1464246995.53643";"около 7 сотен";"76";"нейтральный";"999";"400";"24";"4 года 10 месяцев";"около 215 тысяч";"139";"74 / 64";"8677";"10376";"14365";"5869";"5281";"4190";"5897";"0"
"1464290195.99934";"около 7 тысяч";"76";"нейтральный";"1000";"400";"24";"4 года 10 месяцев";"около 215 тысяч";"140";"74 / 64";"8677";"10376";"14373";"5905";"5306";"4327";"5948";"0"
