"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856482.11129";"около 7 тысяч";"74";"нейтральный";"1007";"392";"2 года 4 месяца";"около 135 тысяч";"134";"91 / 154";"10367";"26105";"16081";"7834";"749";"12850";"5421";"0"
"1463860341.7026";"около 7 тысяч";"74";"нейтральный";"1007";"392";"2 года 4 месяца";"около 135 тысяч";"134";"91 / 154";"10367";"26105";"16080";"7842";"749";"12861";"5422";"0"
"1463903526.47842";"около 7 тысяч";"74";"нейтральный";"1007";"392";"2 года 4 месяца";"около 135 тысяч";"134";"91 / 154";"10370";"26105";"16084";"7772";"746";"12727";"5401";"0"
"1463946734.25784";"около 12 тысяч";"74";"нейтральный";"1008";"392";"2 года 4 месяца";"около 135 тысяч";"134";"91 / 154";"10362";"26105";"16093";"7847";"750";"12822";"5429";"0"
"1463989926.07769";"около 6 тысяч";"74";"нейтральный";"1014";"392";"2 года 4 месяца";"около 135 тысяч";"134";"91 / 154";"10336";"26105";"16095";"7752";"748";"12622";"5401";"0"
"1464033132.95154";"около 5 тысяч";"74";"нейтральный";"1014";"392";"2 года 4 месяца";"около 135 тысяч";"134";"91 / 154";"10344";"26105";"16102";"7773";"750";"12741";"5436";"0"
"1464076327.88351";"около 3 тысяч";"74";"нейтральный";"1015";"392";"2 года 4 месяца";"около 135 тысяч";"134";"91 / 155";"10338";"26105";"16154";"7668";"747";"12629";"5404";"0"
"1464119526.56236";"около 5 тысяч";"74";"нейтральный";"1016";"392";"2 года 4 месяца";"около 135 тысяч";"134";"91 / 155";"10337";"26105";"16162";"7728";"749";"12732";"5431";"0"
"1464162725.82978";"около 22 тысяч";"74";"беззлобный";"1017";"392";"2 года 4 месяца";"около 135 тысяч";"134";"91 / 155";"10340";"26105";"16162";"7624";"740";"12567";"5377";"16815"
"1464205931.41528";"около 4 тысяч";"74";"беззлобный";"1018";"392";"2 года 4 месяца";"около 135 тысяч";"133";"91 / 155";"10280";"26105";"16163";"7711";"742";"12433";"5396";"16881"
"1464249125.47651";"около 9 тысяч";"74";"беззлобный";"1020";"392";"2 года 4 месяца";"около 135 тысяч";"133";"91 / 155";"10279";"26105";"16167";"7622";"722";"12241";"5366";"15659"
"1464292330.8741";"ни одного";"74";"беззлобный";"1021";"392";"2 года 4 месяца";"около 135 тысяч";"134";"91 / 155";"10275";"26105";"16174";"7703";"724";"12365";"5403";"16199"
