"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"p.gladiatorship";"p.taming";"p.alignment"
"1463857166.52404";"около 5 тысяч";"51";"добродушный";"11";"300";"0";"0";"0"
"1463861024.78416";"десяток";"51";"добродушный";"11";"300";"0";"0";"0"
"1463904208.52038";"около 17 тысяч";"51";"добродушный";"10";"300";"0";"0";"0"
"1463947417.42581";"около 3 тысяч";"51";"добродушный";"11";"300";"0";"0";"0"
"1463990609.89758";"около 2 тысяч";"51";"добродушный";"11";"300";"0";"0";"0"
"1464033817.03256";"около 3 тысяч";"51";"добродушный";"12";"300";"0";"0";"0"
"1464077010.60848";"около 7 тысяч";"51";"добродушный";"12";"300";"0";"0";"0"
"1464120209.9679";"около 2 тысяч";"51";"добродушный";"12";"300";"0";"0";"0"
"1464163408.19563";"около 2 тысяч";"51";"добродушный";"12";"300";"0";"0";"0"
"1464206614.89254";"около 2 тысяч";"51";"добродушный";"12";"300";"0";"0";"0"
"1464249808.41889";"около 7 тысяч";"51";"добродушный";"19";"300";"2";"0";"0";"0"
"1464293021.33382";"около 6 тысяч";"51";"добродушный";"20";"300";"2";"0";"0";"0"
