"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856409.88604";"около 7 тысяч";"55";"нейтральный";"16";"316";"";"0";"0";"0"
"1463860274.39389";"около 7 тысяч";"55";"нейтральный";"16";"316";"";"0";"0";"0"
"1463903459.19634";"около 5 тысяч";"55";"нейтральный";"17";"316";"0";"0";"0"
"1463946666.76656";"около 4 тысяч";"55";"нейтральный";"17";"316";"0";"0";"0"
"1463989858.76889";"около тысячи";"55";"нейтральный";"18";"316";"0";"0";"0"
"1464033065.32931";"около 10 тысяч";"55";"нейтральный";"18";"316";"0";"0";"0"
"1464076260.51737";"ни одного";"55";"нейтральный";"19";"316";"0";"0";"0"
"1464119459.20238";"около 2 тысяч";"55";"нейтральный";"20";"316";"0";"0";"0"
"1464162658.50642";"около 4 тысяч";"55";"нейтральный";"20";"316";"0";"0";"0"
"1464205864.05491";"около 4 тысяч";"55";"нейтральный";"20";"316";"0";"0";"0"
"1464249058.08494";"около 4 тысяч";"55";"нейтральный";"22";"316";"1";"0";"0";"0"
"1464292263.30849";"около 6 тысяч";"55";"нейтральный";"22";"316";"2";"0";"0";"0"
