"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"p.gladiatorship";"p.taming";"p.alignment"
"1463857813.77305";"около 16 сотен";"74";"недовольный";"1000";"392";"0";"0";"0"
"1463861671.16438";"около 16 сотен";"74";"недовольный";"1000";"392";"0";"0";"0"
"1463904858.14409";"около 16 сотен";"74";"нейтральный";"1000";"392";"0";"0";"0"
"1463948066.73478";"около 16 сотен";"74";"нейтральный";"1000";"392";"0";"0";"0"
"1463991255.14891";"около 16 сотен";"74";"нейтральный";"1000";"392";"0";"0";"0"
