"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855662.10653";"около 7 тысяч";"56";"нейтральный";"9";"320";"11";"6 лет 3 месяца";"около 85 тысяч";"85";"63 / 76";"36860";"21783";"15878";"12971";"13069";"18398";"0"
"1463859526.60063";"около 7 тысяч";"56";"нейтральный";"9";"320";"11";"6 лет 3 месяца";"около 85 тысяч";"85";"63 / 76";"36860";"21784";"15889";"12980";"13084";"18413";"0"
"1463902711.74076";"около 7 тысяч";"56";"нейтральный";"9";"320";"11";"6 лет 3 месяца";"около 85 тысяч";"85";"63 / 76";"36860";"21787";"0";"0"
"1463945919.42008";"около 7 тысяч";"56";"нейтральный";"9";"320";"11";"6 лет 3 месяца";"около 85 тысяч";"85";"63 / 76";"36860";"21794";"0";"0"
"1463989111.74859";"около 7 тысяч";"56";"нейтральный";"9";"320";"11";"6 лет 3 месяца";"около 85 тысяч";"85";"63 / 76";"36860";"21802";"0";"0"
"1464032316.14899";"около 7 тысяч";"56";"нейтральный";"9";"320";"11";"6 лет 3 месяца";"около 85 тысяч";"85";"63 / 76";"36860";"21808";"0";"0"
"1464075510.28701";"около 7 тысяч";"56";"нейтральный";"9";"320";"11";"6 лет 3 месяца";"около 85 тысяч";"85";"63 / 76";"36860";"21809";"0";"0"
"1464118712.03666";"около 7 тысяч";"56";"нейтральный";"9";"320";"11";"6 лет 3 месяца";"около 85 тысяч";"85";"63 / 76";"36860";"21810";"0";"0"
"1464161911.62533";"около 7 тысяч";"56";"нейтральный";"9";"320";"11";"6 лет 3 месяца";"около 85 тысяч";"85";"63 / 76";"36860";"21816";"0";"0"
"1464205111.04331";"около 7 тысяч";"56";"нейтральный";"9";"320";"11";"6 лет 3 месяца";"около 85 тысяч";"85";"63 / 76";"36860";"21821";"0";"0"
"1464248310.6564";"около 7 тысяч";"56";"нейтральный";"9";"320";"11";"6 лет 3 месяца";"около 85 тысяч";"85";"63 / 76";"36860";"21822";"0";"0"
"1464291515.86436";"около 7 тысяч";"56";"нейтральный";"9";"320";"11";"6 лет 3 месяца";"около 85 тысяч";"85";"63 / 76";"36860";"21826";"0";"0"
