"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855872.14945";"около 2 тысяч";"72";"добродушный";"1003";"384";"4 года 12 месяцев";"около 156 тысяч";"150";"95 / 76";"11568";"20888";"9294";"7893";"1377";"11808";"6783";"11927"
"1463859736.30758";"около 2 тысяч";"72";"добродушный";"1003";"384";"4 года 12 месяцев";"около 156 тысяч";"150";"95 / 76";"11567";"20888";"9295";"7900";"1377";"11815";"6788";"12009"
"1463902921.34946";"около тысячи";"72";"добродушный";"1003";"384";"4 года 12 месяцев";"около 156 тысяч";"150";"95 / 76";"11562";"20888";"9296";"7803";"1370";"11682";"6746";"12421"
"1463946129.14542";"около 13 тысяч";"72";"добродушный";"1004";"384";"1";"4 года 12 месяцев";"около 156 тысяч";"150";"95 / 76";"11559";"20888";"9305";"7871";"1377";"11747";"6787";"10715"
"1463989321.55031";"около 2 тысяч";"72";"беззлобный";"1003";"384";"4 года 12 месяцев";"около 156 тысяч";"151";"95 / 76";"11559";"20888";"9308";"7788";"1372";"11608";"6745";"14694"
"1464032526.08047";"около 8 тысяч";"72";"нейтральный";"1006";"384";"4 года 12 месяцев";"около 156 тысяч";"151";"95 / 76";"11555";"20888";"9306";"7795";"1378";"11881";"6790";"0"
"1464075723.27667";"около 6 тысяч";"72";"нейтральный";"1006";"384";"4 года 12 месяцев";"около 156 тысяч";"151";"95 / 76";"11553";"20888";"9311";"7763";"1374";"11794";"6752";"0"
"1464118921.8464";"около 5 тысяч";"72";"нейтральный";"1006";"384";"4 года 12 месяцев";"около 156 тысяч";"151";"95 / 76";"11551";"20888";"9321";"7822";"1381";"11889";"6780";"0"
"1464162121.29561";"около 25 тысяч";"72";"нейтральный";"1007";"384";"4 года 12 месяцев";"около 156 тысяч";"151";"95 / 76";"11545";"20888";"9323";"7731";"1372";"11760";"6714";"0"
"1464205321.02053";"около 3 тысяч";"72";"беззлобный";"1009";"384";"4 года 12 месяцев";"около 156 тысяч";"151";"95 / 76";"11518";"20888";"9326";"7761";"1378";"11859";"6759";"17736"
"1464248520.49119";"около 17 тысяч";"72";"нейтральный";"1011";"384";"1";"4 года 12 месяцев";"около 156 тысяч";"151";"95 / 76";"11510";"20888";"9329";"7639";"1356";"11644";"6712";"16125"
"1464291725.66507";"около 10 тысяч";"72";"беззлобный";"1011";"384";"4 года 12 месяцев";"около 156 тысяч";"151";"95 / 76";"11506";"20888";"9331";"7597";"1360";"11816";"6765";"15799"
