"godname";"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena.wins";"arena.loses";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment";"a.lamb";"a.imp";"a.martyr";"a.favorite";"a.scoffer";"a.warrior";"a.maniac";"a.champion";"a.tutor";"a.hunter";"a.plunderer";"a.careerist";"a.breeder";"a.architect";"a.shipbuilder";"a.sailor";"a.fowler"
"Amaterasu-dono";"1464952143.55807";"3000";"71";"2";"1020";"380";"3";"3 года 11 месяцев";"181000";"141";"38";"12";"12193";"15661";"16615";"8198";"7537";"6722";"7536";"11663";2;4;2;1;1;3;4;4;4;2;3;3;2;1;1;4;4
"Amnis";"1464952148.75568";"7000";"79";"0";"835";"412";"23";"4 года 7 месяцев";"241000";"122";"58";"59";"6764";"9484";"22112";"6207";"5610";"1865";"4332";"0";4;2;2;0;1;2;4;4;4;2;4;1;1;1;2;4;4
"Amore-perras";"1464952153.92761";"1000";"75";"0";"825";"396";"13";"6 лет 4 месяца";"2e+05";"146";"185";"509";"9753";"9687";"7035";"4737";"11548";"5690";"8399";"0";4;4;2;1;2;2;4;4;4;3;4;3;2;1;2;4;4
"Andreym999";"1464952159.107";"2000";"52";"0";"21";"304";"";"3 года 11 месяцев";"69000";"86";"57";"52";"36921";"21299";"0";"0";4;2;2;1;0;2;3;4;4;3;4;4;3;1;4;4;4
"Annitachka";"1464952164.28347";"2000";"62";"3";"853";"344";"17";"1 год 5 месяцев";"78000";"71";"21";"6";"22214";"29358";"0";"8130";"8929";"9755";"1358";"6153";2;2;2;0;4;3;4;4;3;1;1;2;2;1;2;4;4
"Answer";"1464952169.46724";"6000";"80";"3";"835";"416";"";"6 лет 7 месяцев";"205000";"134";"386";"104";"6310";"439";"525";"4791";"0";"4306";"7440";"7100";2;2;2;1;1;2;4;4;4;1;2;1;2;1;2;4;4
"Antnis";"1464952174.64078";"15000";"83";"0";"931";"428";"33";"5 лет 12 месяцев";"227000";"152";"61";"136";"4953";"10386";"0";"3779";"2133";"4625";"3872";"0";4;2;1;0;0;2;4;4;4;1;2;1;1;1;2;4;4
"Antoine";"1464952179.8262";"7000";"78";"3";"1022";"408";"15";"6 лет 3 месяца";"192000";"148";"58";"50";"7363";"23994";"20152";"5665";"10353";"6546";"6060";"7679";2;2;2;1;0;2;4;4;4;1;2;2;1;1;1;4;4
"Apricisgod";"1464952185.06797";"8000";"72";"-5";"839";"384";"15";"2 года 4 месяца";"181000";"176";"1";"3";"11880";"25395";"0";"7393";"9856";"11861";"6290";"476";3;2;1;0;4;4;4;4;4;2;4;3;1;1;2;4;4
"Arahn";"1464952190.25528";"9000";"75";"1";"1035";"396";"6";"5 лет 1 месяц";"172000";"161";"20";"23";"9293";"20262";"0";"6931";"8615";"10785";"7132";"15201";2;2;1;1;1;3;4;4;4;1;2;2;1;1;1;4;4
"Arcanum07";"1464952195.44693";"4000";"69";"0";"826";"372";"18";"3 года 6 месяцев";"135000";"161";"16";"16";"14521";"23589";"0";"8137";"8443";"20165";"8405";"0";4;2;1;1;2;3;4;4;3;1;2;3;2;1;2;4;4
"Ardent74";"1464952200.61688";"2000";"72";"1";"1027";"384";"16";"3 года 1 месяц";"183000";"151";"12";"8";"11290";"22059";"0";"7480";"9353";"7752";"7361";"18642";2;4;1;1;4;3;4;4;4;2;4;3;2;1;1;4;4
"Arep";"1464952205.80805";"6000";"52";"2";"33";"304";"";"1 год 8 месяцев";"68000";"108";"28";"5";"37019";"16380";"18486";"0";"31940";"18241";"12610";2;4;2;2;4;3;3;4;4;3;4;4;3;1;4;4;4
