"";"gold_approx";"level";"alignment";"bricks_cnt";"health";"exp_progress";"quest_progress"
"1422624002.03616";"около 3 тысяч";"105";"абсолютное добро!";"1000";"376";"8";"18"
"1422625201.38051";"около 3 тысяч";"105";"абсолютное добро!";"1000";"367";"8";"22"
"1422626401.99395";"около 3 тысяч";"105";"абсолютное добро!";"1000";"270";"8";"28"
"1422627602.21943";"около 3 тысяч";"105";"абсолютное добро!";"1000";"182";"8";"33"
"1422628801.54849";"около 3 тысяч";"105";"абсолютное добро!";"1000";"370";"8";"39"
"1422630002.07647";"около 4 тысяч";"105";"абсолютное добро!";"1000";"244";"8";"46"
"1422631201.78283";"около 4 тысяч";"105";"абсолютное добро!";"1000";"250";"8";"52"
"1422632402.09744";"около 5 тысяч";"105";"абсолютное добро!";"1000";"204";"8";"54"
"1422633601.6325";"около 5 тысяч";"105";"абсолютное добро!";"1000";"192";"8";"55"
"1422634801.40968";"около 5 тысяч";"105";"абсолютное добро!";"1000";"88";"8";"62"
"1422636001.73505";"около 5 тысяч";"105";"абсолютное добро!";"1000";"205";"8";"78"
"1422637202.29414";"около 7 тысяч";"105";"абсолютное добро!";"1000";"173";"8";"80"
"1422638402.27632";"около 9 тысяч";"105";"абсолютное добро!";"1000";"173";"8";"81"
"1422639601.65567";"около 9 тысяч";"105";"абсолютное добро!";"1000";"77";"8";"85"
"1422640802.23836";"около 9 тысяч";"105";"абсолютное добро!";"1000";"183";"8";"90"
"1422642002.19669";"около 9 тысяч";"105";"абсолютное добро!";"1000";"168";"8";"100"
"1422643201.59064";"около 13 тысяч";"105";"абсолютное добро!";"1000";"386";"8";"100"
"1422644402.07854";"около 11 тысяч";"105";"абсолютное добро!";"1000";"488";"8";"1"
"1422645601.81892";"около 12 тысяч";"105";"абсолютное добро!";"1000";"360";"8";"3"
"1422646802.24675";"около 12 тысяч";"105";"абсолютное добро!";"1000";"307";"8";"25"
"1422648001.55395";"около 12 тысяч";"105";"абсолютное добро!";"1000";"205";"8";"30"
"1422649201.92711";"около 12 тысяч";"105";"абсолютное добро!";"1000";"117";"8";"32"
"1422650402.29239";"около 12 тысяч";"105";"абсолютное добро!";"1000";"111";"8";"34"
"1422651601.61818";"около 12 тысяч";"105";"абсолютное добро!";"1000";"385";"8";"36"
