"";"gold_approx";"level";"alignment";"bricks_cnt";"health";"exp_progress";"quest_progress"
"1422336001.95099";"около 3 сотен";"29";"озлобленный";"558";"23";"6";"45"
"1422337202.1631";"около 3 сотен";"29";"озлобленный";"558";"34";"6";"48"
"1422338401.62573";"около 4 сотен";"29";"озлобленный";"558";"158";"6";"50"
"1422339601.33299";"около 5 сотен";"29";"озлобленный";"558";"157";"6";"53"
"1422340801.56497";"около 5 сотен";"29";"озлобленный";"558";"93";"7";"59"
"1422342001.97612";"около 6 сотен";"29";"озлобленный";"558";"12";"7";"61"
"1422343201.95414";"около тысячи";"29";"озлобленный";"558";"212";"7";"61"
"1422344402.15465";"около 7 сотен";"29";"озлобленный";"558";"212";"7";"61"
"1422345601.59251";"около 7 сотен";"29";"агрессивный";"558";"83";"7";"64"
"1422346801.34119";"около 9 сотен";"29";"агрессивный";"558";"35";"7";"68"
"1422348001.53684";"около тысячи";"29";"агрессивный";"558";"22";"8";"72"
"1422349201.97616";"около 8 сотен";"29";"агрессивный";"558";"33";"8";"77"
"1422350401.45293";"около 8 сотен";"29";"озлобленный";"558";"56";"8";"83"
"1422351601.66122";"около 8 сотен";"29";"озлобленный";"558";"27";"8";"78"
"1422352589.67814";"около 8 сотен";"29";"озлобленный";"558";"212";"8";"79"
"1422352802.00897";"около 8 сотен";"29";"озлобленный";"558";"212";"8";"79"
"1422354002.07751";"около 2 тысяч";"29";"агрессивный";"559";"212";"10";"80"
"1422355201.29328";"около 17 сотен";"29";"агрессивный";"559";"121";"10";"82"
"1422356401.70976";"около 19 сотен";"29";"агрессивный";"559";"16";"10";"84"
"1422357602.15836";"около 18 сотен";"29";"агрессивный";"559";"205";"10";"84"
"1422358801.36924";"около 2 тысяч";"29";"агрессивный";"559";"150";"11";"87"
"1422360001.77814";"около 2 тысяч";"29";"агрессивный";"559";"48";"11";"91"
"1422361202.0736";"около 2 тысяч";"29";"агрессивный";"559";"170";"12";"94"
"1422362401.34732";"около тысячи";"29";"агрессивный";"559";"137";"12";"95"
"1422363601.74408";"около тысячи";"29";"агрессивный";"559";"49";"12";"99"
"1422364802.19339";"около 18 сотен";"29";"агрессивный";"560";"45";"14";"100"
"1422366001.39711";"около 17 сотен";"29";"агрессивный";"560";"212";"14";"0"
"1422367201.70698";"около 18 сотен";"29";"агрессивный";"560";"78";"14";"4"
"1422368401.23954";"около 18 сотен";"29";"агрессивный";"560";"148";"14";"4"
"1422369601.51105";"около 18 сотен";"29";"агрессивный";"561";"192";"14";"9"
"1422370801.89398";"около 18 сотен";"29";"агрессивный";"561";"127";"15";"15"
"1422372001.99931";"около 2 тысяч";"29";"злобный";"561";"24";"15";"20"
"1422373201.2446";"около 2 тысяч";"29";"злобный";"561";"31";"16";"25"
"1422374401.70103";"около 2 тысяч";"29";"злобный";"561";"36";"16";"31"
"1422375601.90997";"около 2 тысяч";"29";"злобный";"561";"174";"16";"33"
"1422376802.14811";"около 3 тысяч";"29";"злобный";"562";"212";"16";"33"
"1422378001.61801";"около 3 тысяч";"29";"злобный";"562";"122";"16";"34"
"1422379201.45612";"около 3 тысяч";"29";"злобный";"562";"14";"16";"38"
"1422380401.75756";"около 3 тысяч";"29";"злобный";"562";"33";"16";"43"
"1422381602.19727";"около 3 тысяч";"29";"злобный";"562";"18";"17";"47"
"1422382801.50819";"около тысячи";"29";"злобный";"563";"16";"17";"53"
"1422384001.74854";"около тысячи";"29";"злобный";"563";"185";"17";"54"
"1422385202.06283";"около 4 сотен";"29";"злобный";"564";"212";"17";"54"
"1422386401.35183";"около 4 сотен";"29";"злобный";"564";"149";"17";"56"
"1422387601.56014";"около 6 сотен";"29";"злобный";"564";"39";"18";"61"
"1422388801.82444";"около 7 сотен";"29";"злобный";"564";"8";"18";"63"
"1422390002.0871";"около 6 сотен";"29";"злобный";"564";"140";"18";"63"
"1422391201.36787";"около 6 сотен";"29";"злобный";"564";"207";"18";"63"
"1422392401.5885";"около 7 сотен";"29";"злобный";"564";"135";"18";"68"
"1422393601.7914";"около 9 сотен";"29";"злобный";"564";"39";"18";"71"
"1422394801.98047";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422396002.29345";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422397201.51266";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422398401.74752";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422399601.97727";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422400802.18928";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422402001.38125";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422403201.60905";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422404401.80717";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422405602.01614";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422406801.21498";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422408001.45329";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422409201.64905";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422410401.8588";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422411602.07481";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422412801.26637";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422414001.47453";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422415201.70656";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422416401.92412";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422417602.13984";"ни одного";"29";"злобный";"564";"0";"18";"71"
"1422418801.36201";"около 8 десятков";"29";"злобный";"564";"164";"19";"77"
"1422420001.73348";"около 8 десятков";"29";"злобный";"564";"73";"19";"85"
"1422421202.09365";"десяток";"29";"злобный";"564";"29";"19";"91"
"1422422401.54656";"десяток";"29";"злобный";"564";"100";"19";"96"
"1422423601.75068";"около 6 сотен";"29";"злобный";"564";"212";"19";"96"
"1422424802.10847";"около сотни";"29";"злобный";"564";"178";"19";"97"
"1422426001.38301";"около 2 тысяч";"29";"злобный";"564";"156";"20";"100"
"1422427201.59172";"около сотни";"29";"злобный";"565";"156";"20";"100"
"1422428401.98373";"около 7 десятков";"29";"злобный";"565";"102";"20";"0"
"1422429601.35486";"около 2 сотен";"29";"злобный";"565";"32";"20";"4"
"1422430801.66949";"около 2 сотен";"29";"злобный";"565";"118";"20";"4"
"1422432002.06978";"около тысячи";"29";"злобный";"566";"188";"22";"4"
"1422433201.29964";"около 15 сотен";"29";"злобный";"566";"164";"22";"10"
"1422434401.52175";"около 18 сотен";"29";"злобный";"566";"26";"23";"12"
"1422435601.92793";"около 18 сотен";"29";"злобный";"566";"133";"23";"13"
"1422436801.61";"около 18 сотен";"29";"злобный";"566";"185";"23";"14"
"1422438002.66968";"около 2 тысяч";"29";"злобный";"566";"107";"23";"16"
"1422439202.01149";"около 2 тысяч";"29";"злобный";"566";"30";"23";"21"
"1422440401.76155";"около 2 тысяч";"29";"злобный";"566";"24";"24";"25"
"1422441602.50979";"около 2 тысяч";"29";"злобный";"566";"26";"24";"29"
"1422442802.40462";"около 2 тысяч";"29";"злобный";"566";"85";"24";"30"
"1422444002.1674";"около 3 тысяч";"29";"злобный";"566";"212";"24";"30"
"1422445201.38863";"около 2 тысяч";"29";"злобный";"566";"184";"24";"31"
"1422446402.10706";"около 2 тысяч";"29";"злобный";"566";"212";"25";"34"
"1422447601.39458";"около сотни";"29";"злобный";"568";"198";"26";"35"
"1422448801.60492";"около 3 сотен";"29";"злобный";"568";"123";"27";"37"
"1422450001.9545";"около 4 сотен";"29";"злобный";"568";"11";"27";"40"
"1422451201.2683";"около тысячи";"29";"злобный";"568";"212";"27";"40"
"1422452401.50014";"около тысячи";"29";"злобный";"568";"212";"27";"40"
"1422453601.93082";"около тысячи";"29";"злобный";"568";"139";"27";"45"
"1422454802.12075";"около 3 тысяч";"29";"злобный";"568";"19";"28";"48"
"1422456001.33858";"около 3 тысяч";"29";"злобный";"568";"211";"28";"48"
"1422457201.74951";"около 3 тысяч";"29";"злобный";"568";"126";"28";"50"
"1422458401.83872";"около 3 тысяч";"29";"злобный";"568";"40";"28";"55"
"1422459602.10188";"около 3 тысяч";"29";"злобный";"568";"86";"28";"57"
"1422460801.79675";"около тысячи";"29";"чистое зло";"570";"157";"28";"57"
"1422462001.53634";"около тысячи";"29";"чистое зло";"570";"212";"28";"57"
"1422463201.82403";"около тысячи";"29";"чистое зло";"570";"137";"29";"60"
"1422464402.10912";"около тысячи";"29";"чистое зло";"570";"42";"29";"64"
"1422465601.2647";"около тысячи";"29";"чистое зло";"571";"212";"30";"69"
"1422466801.5334";"около тысячи";"29";"чистое зло";"573";"109";"31";"70"
"1422468001.96213";"около тысячи";"29";"чистое зло";"573";"43";"32";"74"
"1422469201.83761";"около тысячи";"29";"чистое зло";"573";"77";"32";"76"
"1422470402.18587";"около тысячи";"29";"чистое зло";"573";"17";"32";"80"
"1422471601.91984";"около тысячи";"29";"чистое зло";"573";"181";"32";"80"
"1422472801.99668";"около 2 тысяч";"29";"чистое зло";"573";"212";"32";"80"
"1422474001.27256";"около тысячи";"29";"чистое зло";"573";"86";"32";"80"
"1422475201.56498";"около тысячи";"29";"чистое зло";"573";"34";"32";"84"
"1422476401.8175";"около тысячи";"29";"чистое зло";"573";"18";"33";"94"
"1422477602.10789";"около тысячи";"29";"чистое зло";"573";"21";"33";"98"
"1422478801.44377";"около 3 тысяч";"29";"чистое зло";"573";"32";"35";"100"
"1422480002.0221";"около 4 тысяч";"29";"чистое зло";"573";"212";"35";"100"
"1422481201.25671";"около 4 тысяч";"29";"чистое зло";"573";"101";"35";"3"
"1422482401.53345";"около 4 тысяч";"29";"чистое зло";"573";"38";"35";"5"
"1422483601.7689";"около 4 тысяч";"29";"чистое зло";"573";"212";"36";"6"
"1422484802.09204";"около 4 тысяч";"29";"чистое зло";"573";"176";"36";"12"
"1422486001.41657";"около 4 тысяч";"29";"чистое зло";"573";"171";"36";"21"
"1422487201.664";"около 4 тысяч";"29";"чистое зло";"573";"171";"36";"29"
"1422488401.96183";"около 4 тысяч";"29";"чистое зло";"573";"76";"36";"34"
"1422489602.16796";"около тысячи";"29";"чистое зло";"574";"68";"36";"36"
"1422490801.45307";"около тысячи";"29";"чистое зло";"574";"151";"36";"36"
"1422492001.68567";"около тысячи";"29";"чистое зло";"574";"199";"36";"36"
"1422493201.91429";"около тысячи";"29";"чистое зло";"574";"100";"37";"40"
"1422494402.13538";"около тысячи";"29";"чистое зло";"574";"25";"37";"45"
"1422495601.3695";"около тысячи";"29";"чистое зло";"574";"24";"37";"47"
"1422496801.61";"около тысячи";"29";"чистое зло";"574";"212";"37";"47"
"1422498001.86322";"около 3 сотен";"29";"злобный";"578";"212";"39";"47"
"1422499202.07065";"около сотни";"29";"злобный";"578";"188";"39";"48"
"1422500401.28463";"около 5 сотен";"29";"злобный";"578";"23";"39";"52"
"1422501601.55065";"около 5 сотен";"29";"злобный";"578";"27";"39";"54"
"1422502801.59615";"около 8 сотен";"29";"злобный";"578";"212";"39";"55"
"1422504001.83017";"около тысячи";"29";"злобный";"578";"88";"40";"59"
"1422505202.2346";"около 2 сотен";"29";"злобный";"578";"40";"40";"63"
"1422506402.84218";"около 3 сотен";"29";"злобный";"578";"212";"40";"64"
"1422507602.47404";"около 2 сотен";"29";"злобный";"578";"212";"40";"64"
"1422508801.69749";"около 3 сотен";"29";"злобный";"578";"146";"41";"66"
"1422510002.04621";"около 4 сотен";"29";"злобный";"578";"51";"41";"70"
"1422511201.33707";"около 5 сотен";"29";"злобный";"578";"25";"41";"73"
"1422512401.31602";"около 3 сотен";"29";"злобный";"578";"193";"41";"76"
"1422513601.51621";"около тысячи";"29";"злобный";"578";"212";"41";"76"
"1422514802.45293";"около 6 сотен";"29";"злобный";"578";"172";"41";"85"
"1422516002.43482";"около тысячи";"29";"озлобленный";"580";"142";"43";"85"
"1422517201.71593";"около 19 сотен";"29";"озлобленный";"580";"24";"44";"88"
"1422518402.16885";"около 2 тысяч";"29";"озлобленный";"580";"39";"44";"91"
"1422519601.51185";"около 2 тысяч";"29";"озлобленный";"580";"38";"44";"91"
"1422520802.27757";"около 2 тысяч";"29";"озлобленный";"580";"154";"44";"35"
"1422522001.83561";"около 2 тысяч";"29";"агрессивный";"580";"120";"44";"100"
"1422523201.99638";"около 18 сотен";"29";"агрессивный";"581";"137";"45";"93"
"1422524401.29633";"около 3 тысяч";"29";"агрессивный";"581";"139";"46";"94"
"1422525601.59675";"около 7 десятков";"29";"агрессивный";"584";"162";"46";"94"
"1422526801.33067";"около 7 десятков";"29";"агрессивный";"584";"109";"47";"96"
"1422528001.5903";"около сотни";"29";"агрессивный";"584";"115";"49";"100"
"1422529202.14067";"около тысячи";"29";"агрессивный";"584";"107";"49";"100"
"1422530401.47875";"около тысячи";"29";"агрессивный";"584";"212";"49";"100"
"1422531601.72";"около 2 тысяч";"29";"агрессивный";"587";"189";"50";"0"
"1422532802.19495";"около 2 тысяч";"29";"агрессивный";"587";"97";"50";"5"
"1422534001.99102";"около 7 сотен";"29";"агрессивный";"588";"82";"51";"9"
"1422535201.26982";"около 7 сотен";"29";"агрессивный";"588";"81";"51";"11"
"1422536401.71525";"около 8 сотен";"29";"агрессивный";"588";"58";"51";"14"
"1422537602.0711";"около 8 сотен";"29";"агрессивный";"588";"7";"51";"16"
"1422538801.30644";"около 9 сотен";"29";"агрессивный";"588";"170";"52";"18"
"1422540001.75774";"около тысячи";"29";"агрессивный";"589";"192";"52";"18"
"1422541202.00587";"около 8 сотен";"29";"агрессивный";"589";"146";"52";"20"
"1422542401.24966";"около 8 сотен";"29";"агрессивный";"589";"103";"52";"25"
"1422543601.72764";"около 8 сотен";"29";"агрессивный";"589";"113";"52";"32"
"1422544802.04228";"около 8 сотен";"29";"агрессивный";"589";"113";"52";"38"
"1422546001.33112";"около 8 сотен";"29";"агрессивный";"589";"67";"52";"44"
"1422547201.77272";"около 9 сотен";"29";"агрессивный";"589";"37";"52";"50"
"1422548401.86555";"около тысячи";"29";"агрессивный";"589";"21";"52";"53"
"1422549602.10085";"около 8 сотен";"29";"агрессивный";"589";"19";"52";"56"
"1422550801.5726";"около 8 сотен";"29";"агрессивный";"589";"175";"53";"57"
"1422552001.86961";"около тысячи";"29";"агрессивный";"589";"138";"53";"59"
"1422553202.09964";"около 8 сотен";"29";"агрессивный";"589";"63";"53";"60"
"1422554401.51239";"около 8 сотен";"29";"агрессивный";"589";"28";"54";"62"
"1422555601.55012";"около 9 сотен";"29";"агрессивный";"589";"20";"54";"66"
"1422556801.83248";"около тысячи";"29";"агрессивный";"589";"37";"54";"69"
"1422558002.21457";"около тысячи";"29";"агрессивный";"589";"40";"54";"71"
"1422559202.14375";"около тысячи";"29";"агрессивный";"589";"22";"54";"74"
"1422560401.3956";"около тысячи";"29";"агрессивный";"589";"164";"54";"74"
"1422561601.62404";"около тысячи";"29";"агрессивный";"589";"206";"54";"74"
"1422562801.86353";"около тысячи";"29";"агрессивный";"589";"84";"54";"77"
"1422564002.0873";"около тысячи";"29";"агрессивный";"589";"23";"55";"81"
"1422565201.31216";"около тысячи";"29";"агрессивный";"589";"24";"55";"84"
"1422566401.56563";"около тысячи";"29";"агрессивный";"589";"212";"55";"85"
"1422567601.79491";"около 2 тысяч";"29";"агрессивный";"589";"212";"55";"85"
"1422568802.02281";"около 9 сотен";"29";"агрессивный";"589";"148";"55";"86"
"1422570001.2779";"около тысячи";"29";"агрессивный";"589";"75";"56";"89"
"1422571201.56098";"около тысячи";"29";"агрессивный";"589";"24";"56";"87"
"1422572401.78346";"около тысячи";"29";"агрессивный";"589";"1";"56";"89"
"1422573602.00293";"около тысячи";"29";"агрессивный";"589";"212";"56";"89"
"1422574801.22575";"около 3 сотен";"29";"агрессивный";"590";"212";"56";"89"
"1422576001.45078";"около 3 сотен";"29";"агрессивный";"590";"19";"56";"90"
"1422577201.69073";"около 3 сотен";"29";"агрессивный";"590";"6";"56";"91"
"1422578401.89574";"около 3 сотен";"29";"агрессивный";"590";"198";"56";"91"
"1422579602.1219";"около 3 сотен";"29";"агрессивный";"590";"212";"56";"91"
"1422580801.35097";"около 5 сотен";"29";"агрессивный";"590";"29";"56";"93"
"1422582001.55757";"около 5 сотен";"29";"агрессивный";"590";"23";"56";"95"
"1422583201.75659";"около 6 сотен";"29";"агрессивный";"590";"24";"57";"99"
"1422584401.97806";"около тысячи";"29";"агрессивный";"590";"19";"59";"100"
"1422585602.20868";"около тысячи";"29";"агрессивный";"590";"212";"59";"100"
"1422586801.45966";"около 9 сотен";"29";"агрессивный";"590";"146";"59";"2"
"1422588001.69034";"около тысячи";"29";"агрессивный";"590";"103";"60";"3"
"1422589201.93271";"около тысячи";"29";"агрессивный";"590";"148";"60";"5"
"1422590402.22013";"около тысячи";"29";"агрессивный";"590";"36";"60";"8"
"1422591601.4831";"около тысячи";"29";"агрессивный";"590";"74";"60";"15"
"1422592801.97884";"около тысячи";"29";"агрессивный";"590";"15";"60";"19"
"1422594002.35407";"около 3 тысяч";"29";"агрессивный";"590";"212";"60";"19"
"1422595201.80005";"около тысячи";"29";"агрессивный";"590";"194";"61";"20"
"1422596402.02453";"около тысячи";"29";"агрессивный";"590";"42";"61";"23"
"1422597601.46431";"около тысячи";"29";"агрессивный";"590";"178";"61";"23"
"1422598801.34033";"около тысячи";"29";"агрессивный";"590";"136";"61";"26"
"1422600001.56705";"около тысячи";"29";"агрессивный";"590";"59";"62";"30"
"1422601202.12831";"около тысячи";"29";"агрессивный";"590";"18";"62";"34"
"1422602402.0574";"около тысячи";"29";"агрессивный";"590";"118";"62";"34"
"1422603601.28908";"около 2 тысяч";"29";"агрессивный";"590";"212";"62";"34"
"1422604801.74571";"около тысячи";"29";"агрессивный";"590";"206";"62";"34"
"1422606001.97416";"около тысячи";"29";"агрессивный";"590";"135";"62";"44"
"1422607202.23024";"около 15 сотен";"29";"агрессивный";"591";"185";"64";"45"
"1422608401.69988";"около 16 сотен";"29";"агрессивный";"591";"103";"64";"50"
"1422609601.25513";"около 17 сотен";"29";"агрессивный";"591";"26";"65";"55"
"1422610801.86474";"около 17 сотен";"29";"агрессивный";"591";"12";"65";"57"
"1422612002.32341";"около 17 сотен";"29";"агрессивный";"591";"212";"65";"57"
"1422613201.87108";"около 18 сотен";"29";"агрессивный";"591";"80";"65";"59"
"1422614402.09279";"около 18 сотен";"29";"агрессивный";"591";"19";"65";"64"
"1422615601.47874";"около 2 тысяч";"29";"агрессивный";"591";"15";"65";"68"
"1422616801.41912";"около 2 тысяч";"29";"агрессивный";"591";"20";"65";"72"
"1422618001.64746";"около 2 тысяч";"29";"агрессивный";"591";"127";"65";"74"
"1422619202.12861";"около 6 сотен";"29";"агрессивный";"592";"212";"65";"74"
"1422620401.91995";"около 5 сотен";"29";"агрессивный";"592";"118";"66";"76"
"1422621602.18713";"около 5 сотен";"29";"агрессивный";"593";"110";"66";"77"
"1422624001.9342";"около 16 сотен";"29";"злобный";"594";"127";"67";"82"
"1422625201.27488";"около 17 сотен";"29";"злобный";"595";"117";"69";"100"
"1422626401.89481";"около тысячи";"29";"злобный";"595";"117";"69";"100"
"1422627602.12841";"около тысячи";"29";"злобный";"595";"35";"69";"3"
"1422628801.44745";"около тысячи";"29";"злобный";"595";"57";"69";"6"
"1422630001.97512";"около тысячи";"29";"злобный";"595";"183";"70";"6"
"1422631201.67904";"около тысячи";"29";"злобный";"595";"212";"70";"6"
"1422632401.98873";"около тысячи";"29";"злобный";"595";"141";"70";"11"
"1422633601.52878";"около 15 сотен";"29";"злобный";"595";"40";"70";"17"
"1422634801.29319";"около 16 сотен";"29";"злобный";"595";"23";"70";"21"
"1422636001.63077";"около 17 сотен";"29";"злобный";"595";"23";"70";"25"
"1422637202.19696";"около 17 сотен";"29";"злобный";"595";"13";"71";"29"
"1422638402.17976";"около 17 сотен";"29";"злобный";"595";"176";"71";"29"
"1422639601.54997";"около 2 сотен";"29";"чистое зло";"595";"202";"71";"29"
"1422640802.14483";"около тысячи";"29";"чистое зло";"595";"133";"71";"34"
"1422642002.08938";"около тысячи";"29";"чистое зло";"595";"14";"71";"38"
"1422643201.49002";"около 15 сотен";"29";"чистое зло";"595";"148";"71";"38"
"1422644402.0119";"около 2 тысяч";"29";"чистое зло";"595";"212";"71";"38"
"1422645601.72118";"около тысячи";"29";"чистое зло";"595";"176";"71";"42"
"1422646802.12289";"около тысячи";"29";"чистое зло";"595";"68";"71";"43"
"1422648001.45558";"около тысячи";"29";"чистое зло";"595";"26";"72";"47"
"1422649201.82529";"около тысячи";"29";"чистое зло";"595";"38";"72";"51"
"1422650402.19377";"около тысячи";"29";"чистое зло";"595";"17";"72";"55"
"1422651601.51106";"около 2 тысяч";"29";"чистое зло";"595";"212";"72";"55"
"1422652801.82496";"около 15 сотен";"29";"чистое зло";"595";"201";"72";"55"
"1422654002.24905";"около 16 сотен";"29";"чистое зло";"595";"125";"72";"59"
"1422655201.5996";"около 2 тысяч";"29";"чистое зло";"595";"51";"73";"62"
"1422656402.01064";"около 2 тысяч";"29";"чистое зло";"595";"17";"73";"66"
"1422657601.3516";"около 2 тысяч";"29";"чистое зло";"595";"203";"73";"66"
"1422658801.72923";"около 17 сотен";"29";"чистое зло";"595";"212";"73";"66"
"1422660002.08021";"около 15 сотен";"29";"чистое зло";"595";"212";"73";"66"
"1422661201.40865";"около 15 сотен";"29";"чистое зло";"595";"57";"73";"66"
"1422662401.70842";"около 17 сотен";"29";"чистое зло";"595";"25";"74";"72"
"1422663602.02185";"около 18 сотен";"29";"чистое зло";"595";"20";"74";"75"
"1422664801.3418";"около 18 сотен";"29";"чистое зло";"595";"8";"74";"77"
"1422666001.65177";"около 18 сотен";"29";"чистое зло";"595";"212";"74";"77"
"1422667201.95812";"около 19 сотен";"29";"чистое зло";"595";"180";"74";"77"
"1422668401.24959";"около 2 тысяч";"29";"чистое зло";"595";"116";"74";"80"
"1422669601.59329";"около 2 тысяч";"29";"чистое зло";"595";"19";"74";"83"
"1422670801.91513";"около 16 сотен";"29";"чистое зло";"595";"31";"74";"86"
"1422672001.23311";"около 16 сотен";"29";"чистое зло";"595";"35";"75";"92"
"1422673201.55191";"около 16 сотен";"29";"чистое зло";"595";"34";"75";"98"
"1422674401.87902";"около 16 сотен";"29";"чистое зло";"596";"7";"77";"100"
"1422675602.20253";"около 4 тысяч";"29";"чистое зло";"596";"186";"77";"100"
"1422676801.51069";"около 18 сотен";"29";"чистое зло";"597";"153";"77";"2"
"1422678001.8526";"около 19 сотен";"29";"чистое зло";"597";"72";"78";"4"
"1422679201.23347";"около 2 тысяч";"29";"чистое зло";"597";"88";"78";"8"
"1422680402.12762";"около 2 тысяч";"29";"чистое зло";"597";"212";"78";"8"
"1422681601.94833";"около тысячи";"29";"чистое зло";"597";"182";"78";"9"
"1422682801.27176";"около 18 сотен";"29";"чистое зло";"597";"51";"78";"14"
"1422684001.81415";"около 17 сотен";"29";"чистое зло";"597";"12";"79";"12"
"1422685204.90105";"около 17 сотен";"29";"чистое зло";"597";"187";"79";"12"
"1422686402.11362";"около 17 сотен";"29";"чистое зло";"597";"166";"79";"15"
"1422687601.60176";"около 18 сотен";"29";"чистое зло";"597";"88";"79";"20"
"1422688801.84835";"около 2 тысяч";"29";"чистое зло";"597";"28";"80";"25"
"1422690002.14403";"около 2 тысяч";"29";"чистое зло";"597";"23";"80";"28"
"1422691201.72163";"около 18 сотен";"29";"чистое зло";"597";"12";"80";"32"
"1422692401.49528";"около 2 тысяч";"29";"чистое зло";"597";"32";"80";"37"
"1422693601.81824";"около 2 тысяч";"29";"чистое зло";"597";"97";"80";"38"
"1422694802.31862";"около тысячи";"29";"чистое зло";"598";"192";"80";"38"
"1422696001.49752";"около 5 сотен";"29";"чистое зло";"598";"192";"80";"38"
"1422697201.81326";"около 6 сотен";"29";"чистое зло";"598";"81";"80";"41"
"1422698402.48244";"около 3 сотен";"29";"чистое зло";"598";"24";"81";"44"
"1422699601.84395";"около 3 сотен";"29";"чистое зло";"598";"119";"81";"46"
"1422700802.14933";"около 3 сотен";"29";"чистое зло";"598";"212";"81";"46"
"1422702001.661";"около 4 сотен";"29";"чистое зло";"598";"156";"81";"48"
