"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855590.33453";"около 4 тысяч";"56";"беззлобный";"15";"320";"6 лет 5 месяцев";"около 79 тысяч";"59";"19 / 30";"37004";"0";"15636";"0";"6117";"18366";"14625"
"1463859454.96352";"около 4 тысяч";"56";"беззлобный";"15";"320";"6 лет 5 месяцев";"около 79 тысяч";"59";"19 / 30";"37004";"0";"15646";"0";"6122";"18380";"14689"
"1463902640.2419";"около 13 тысяч";"56";"беззлобный";"17";"320";"6 лет 5 месяцев";"около 79 тысяч";"59";"19 / 30";"37004";"0";"15422";"0";"6045";"18137";"14971"
"1463945847.85341";"около 8 сотен";"56";"беззлобный";"18";"320";"6 лет 5 месяцев";"около 79 тысяч";"59";"19 / 30";"37004";"0";"15474";"0";"6088";"18338";"15480"
"1463989040.1193";"около тысячи";"56";"беззлобный";"18";"320";"6 лет 5 месяцев";"около 79 тысяч";"59";"19 / 30";"37004";"0";"15226";"0";"5980";"18118";"15847"
"1464032244.33975";"около 4 тысяч";"56";"беззлобный";"19";"320";"6 лет 5 месяцев";"около 79 тысяч";"59";"19 / 30";"37004";"0";"15356";"0";"6024";"18310";"16363"
"1464075438.73503";"около 6 тысяч";"56";"беззлобный";"19";"320";"6 лет 5 месяцев";"около 79 тысяч";"59";"19 / 30";"37004";"0";"15199";"0";"5957";"18100";"16653"
"1464118640.43656";"около 2 тысяч";"56";"беззлобный";"19";"320";"6 лет 5 месяцев";"около 79 тысяч";"60";"19 / 30";"37004";"0";"15313";"0";"6249";"18344";"17173"
"1464161840.05975";"около 2 тысяч";"56";"беззлобный";"20";"320";"6 лет 5 месяцев";"около 80 тысяч";"60";"19 / 30";"37004";"0";"15130";"0";"6148";"18095";"17455"
"1464205039.47347";"около 3 тысяч";"56";"беззлобный";"20";"320";"6 лет 5 месяцев";"около 80 тысяч";"60";"19 / 30";"37004";"0";"15361";"0";"6203";"18343";"17978"
"1464248239.0346";"около 5 тысяч";"56";"беззлобный";"21";"320";"6 лет 5 месяцев";"около 80 тысяч";"60";"19 / 30";"37004";"0";"14924";"0";"6106";"18038";"18238"
"1464291444.25268";"около 5 тысяч";"56";"беззлобный";"22";"320";"6 лет 5 месяцев";"около 80 тысяч";"60";"19 / 30";"37004";"0";"15146";"0";"6165";"18259";"18783"
"1464334643.91286";"около тысячи";"56";"беззлобный";"22";"320";"6 лет 5 месяцев";"около 80 тысяч";"60";"19 / 30";"37004";"0";"14964";"0";"6060";"18061";"19162"
