"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463853815.1374";"около 7 тысяч";"75";"нейтральный";"818";"396";"4 года 10 месяцев";"около 219 тысяч";"171";"48 / 57";"9127";"12839";"0";"6551";"0";"6807";"7552";"0"
"1463857671.15001";"около 7 тысяч";"75";"нейтральный";"818";"396";"4 года 10 месяцев";"около 219 тысяч";"171";"48 / 57";"9127";"12839";"0";"6558";"0";"6821";"7561";"0"
"1463900868.8327";"около 7 тысяч";"75";"нейтральный";"818";"396";"4 года 10 месяцев";"около 219 тысяч";"171";"48 / 57";"9129";"12839";"0";"6491";"0";"6770";"7512";"0"
"1463944071.93062";"около 7 тысяч";"75";"нейтральный";"818";"396";"4 года 10 месяцев";"около 219 тысяч";"171";"48 / 57";"9133";"12839";"0";"6546";"0";"6826";"7561";"0"
"1463987269.09937";"около 7 сотен";"75";"нейтральный";"820";"396";"2";"4 года 10 месяцев";"около 219 тысяч";"172";"48 / 57";"9094";"12839";"0";"6480";"23722";"6812";"7494";"0"
"1464030470.46139";"около 9 тысяч";"75";"нейтральный";"821";"396";"2";"4 года 10 месяцев";"около 219 тысяч";"172";"48 / 57";"9093";"12839";"0";"6488";"23938";"6862";"7539";"0"
"1464073669.31837";"около 9 тысяч";"75";"нейтральный";"821";"396";"2";"4 года 10 месяцев";"около 219 тысяч";"172";"48 / 57";"9097";"12839";"0";"6454";"23498";"6799";"7498";"0"
"1464116869.34073";"около 3 тысяч";"75";"нейтральный";"823";"396";"2";"4 года 10 месяцев";"около 220 тысяч";"172";"48 / 57";"9089";"12839";"0";"6504";"23740";"6867";"7542";"0"
"1464160069.02045";"около 3 тысяч";"75";"нейтральный";"823";"396";"2";"4 года 10 месяцев";"около 220 тысяч";"172";"48 / 57";"9091";"12839";"0";"6431";"23265";"6797";"7468";"0"
"1464203268.07418";"около 3 тысяч";"75";"нейтральный";"823";"396";"2";"4 года 10 месяцев";"около 220 тысяч";"172";"48 / 57";"9098";"12839";"0";"6497";"23616";"6886";"7533";"0"
"1464246468.71774";"около 3 тысяч";"75";"нейтральный";"823";"396";"2";"4 года 10 месяцев";"около 220 тысяч";"172";"48 / 57";"9101";"12839";"0";"6430";"23213";"6792";"7472";"0"
"1464289668.90382";"около 3 тысяч";"75";"нейтральный";"823";"396";"2";"4 года 10 месяцев";"около 220 тысяч";"172";"48 / 57";"9105";"12839";"0";"6499";"23493";"6884";"7541";"0"
"1464332869.38441";"около 3 тысяч";"75";"нейтральный";"823";"396";"2";"4 года 10 месяцев";"около 220 тысяч";"172";"48 / 57";"9106";"12839";"0";"6443";"23138";"6783";"7488";"0"
