"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463857129.77946";"около 16 сотен";"75";"нейтральный";"1010";"396";"3 года 8 месяцев";"около 202 тысяч";"167";"16 / 12";"9252";"20770";"0";"6648";"0";"7836";"6720";"0"
"1463860987.9149";"около 16 сотен";"75";"нейтральный";"1010";"396";"3 года 8 месяцев";"около 202 тысяч";"167";"16 / 12";"9252";"20770";"0";"6653";"0";"7841";"6724";"0"
"1463904171.79565";"около 16 сотен";"75";"нейтральный";"1010";"396";"3 года 8 месяцев";"около 202 тысяч";"167";"16 / 12";"9253";"20770";"0";"6589";"0";"7790";"6687";"0"
"1463947380.61718";"около 3 тысяч";"75";"беззлобный";"1011";"396";"3 года 8 месяцев";"около 202 тысяч";"167";"16 / 12";"9242";"20770";"0";"6718";"0";"7848";"6730";"17736"
"1463990573.18618";"около 3 тысяч";"75";"беззлобный";"1011";"396";"3 года 8 месяцев";"около 202 тысяч";"167";"16 / 12";"9246";"20770";"0";"6665";"0";"7750";"6696";"18027"
"1464033780.22053";"около 19 сотен";"75";"беззлобный";"1012";"396";"1";"3 года 8 месяцев";"около 202 тысяч";"168";"16 / 12";"9248";"20770";"0";"6653";"24361";"7937";"6742";"18135"
"1464076973.87792";"около 7 тысяч";"75";"беззлобный";"1013";"396";"1";"3 года 8 месяцев";"около 202 тысяч";"168";"16 / 12";"9249";"20770";"0";"6612";"23930";"7881";"6713";"18381"
"1464120173.14361";"около 2 тысяч";"75";"нейтральный";"1013";"396";"1";"3 года 8 месяцев";"около 203 тысяч";"168";"16 / 12";"9244";"20770";"0";"6664";"24176";"7963";"6738";"0"
"1464163371.48919";"около 2 тысяч";"75";"нейтральный";"1013";"396";"1";"3 года 8 месяцев";"около 203 тысяч";"168";"16 / 12";"9251";"20770";"0";"6582";"23710";"7870";"6686";"0"
"1464206578.06047";"около 18 сотен";"75";"беззлобный";"1013";"396";"2";"3 года 8 месяцев";"около 203 тысяч";"168";"16 / 12";"9250";"20770";"0";"6582";"23857";"7939";"6729";"17376"
"1464249771.69619";"около 5 тысяч";"75";"беззлобный";"1013";"396";"2";"3 года 8 месяцев";"около 203 тысяч";"168";"16 / 12";"9249";"20770";"0";"6519";"23397";"7814";"6685";"16152"
"1464292984.38602";"около 4 тысяч";"75";"беззлобный";"1013";"396";"2";"3 года 8 месяцев";"около 203 тысяч";"168";"16 / 12";"9248";"20770";"0";"6586";"23620";"7914";"6746";"16708"
"1464336182.39778";"около 3 тысяч";"75";"добродушный";"1013";"396";"3";"3 года 8 месяцев";"около 203 тысяч";"168";"16 / 12";"9245";"20770";"0";"6535";"22796";"7800";"6701";"14208"
