"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463858499.01253";"ни одного";"86";"недовольный";"915";"440";"";"0";"0";"0"
"1463862348.63554";"ни одного";"86";"недовольный";"915";"440";"";"0";"0";"0"
"1463905533.98854";"ни одного";"86";"недовольный";"915";"440";"";"0";"0";"0"
"1463948743.87924";"около 7 тысяч";"86";"недовольный";"924";"440";"";"0";"0";"0"
"1463991931.17131";"около 4 тысяч";"86";"нейтральный";"924";"440";"";"0";"0";"0"
