"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463858108.41422";"ни одного";"44";"беззлобный";"4";"272";"1";"8 месяцев";"около 44 тысяч";"47";"78 / 72";"37250";"13934";"21330";"24390";"15198";"18504";"15344"
"1463861965.88807";"ни одного";"44";"беззлобный";"4";"272";"1";"8 месяцев";"около 44 тысяч";"47";"78 / 72";"37250";"13936";"21358";"24407";"15210";"18532";"15396"
"1463905152.32113";"около 6 десятков";"44";"беззлобный";"4";"272";"1";"8 месяцев";"около 44 тысяч";"47";"78 / 72";"37251";"13943";"21075";"23918";"15003";"18321";"15664"
"1463948361.34475";"около 2 тысяч";"44";"добродушный";"5";"272";"2";"8 месяцев";"около 44 тысяч";"47";"78 / 72";"37251";"13941";"21356";"24027";"15115";"18529";"12502"
"1463991549.30606";"около 4 тысяч";"44";"добродушный";"6";"272";"2";"8 месяцев";"около 44 тысяч";"47";"78 / 72";"37251";"13943";"21084";"23618";"14836";"18298";"12874"
