"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.taming";"p.alignment"
"1463853568.24557";"около 2 сотен";"54";"нейтральный";"11";"312";"9";"1 год 11 месяцев";"около 76 тысяч";"108";"1 / 0";"36928";"0";"0";"0"
"1463857425.65097";"около 2 сотен";"54";"нейтральный";"11";"312";"9";"1 год 11 месяцев";"около 76 тысяч";"108";"1 / 0";"36928";"0";"0";"0"
"1463900623.45013";"около 2 сотен";"54";"нейтральный";"11";"312";"9";"1 год 11 месяцев";"около 76 тысяч";"108";"1 / 0";"36928";"0";"0";"0"
"1463943826.25761";"около 2 сотен";"54";"нейтральный";"11";"312";"9";"1 год 11 месяцев";"около 76 тысяч";"108";"1 / 0";"36928";"0";"0";"0"
"1463987023.56973";"около 2 сотен";"54";"нейтральный";"11";"312";"9";"1 год 11 месяцев";"около 76 тысяч";"108";"1 / 0";"36928";"0";"0";"0"
"1464030223.5885";"около 2 сотен";"54";"нейтральный";"11";"312";"9";"1 год 11 месяцев";"около 76 тысяч";"108";"1 / 0";"36928";"0";"0";"0"
"1464073423.56975";"около 2 сотен";"54";"нейтральный";"11";"312";"9";"1 год 11 месяцев";"около 76 тысяч";"108";"1 / 0";"36928";"0";"0";"0"
"1464116623.18421";"около 2 сотен";"54";"нейтральный";"11";"312";"9";"1 год 11 месяцев";"около 76 тысяч";"108";"1 / 0";"36928";"0";"0";"0"
"1464159823.38194";"около 2 сотен";"54";"нейтральный";"11";"312";"9";"1 год 11 месяцев";"около 76 тысяч";"108";"1 / 0";"36928";"0";"0";"0"
"1464203022.66623";"около 2 сотен";"54";"нейтральный";"11";"312";"9";"1 год 11 месяцев";"около 76 тысяч";"108";"1 / 0";"36928";"0";"0";"0"
"1464246223.19143";"около 2 сотен";"54";"нейтральный";"11";"312";"9";"1 год 12 месяцев";"около 76 тысяч";"108";"1 / 0";"36928";"0";"0";"0"
"1464289423.37822";"около 2 сотен";"54";"нейтральный";"11";"312";"9";"1 год 12 месяцев";"около 76 тысяч";"108";"1 / 0";"36928";"0";"0";"0"
"1464332624.01572";"около 2 сотен";"54";"нейтральный";"11";"312";"9";"1 год 12 месяцев";"около 76 тысяч";"108";"1 / 0";"36928";"0";"0";"0"
