"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855980.01663";"ни одного";"74";"добродушный";"1006";"392";"2 года 8 месяцев";"около 148 тысяч";"127";"7 / 3";"9830";"24853";"0";"7586";"8796";"8660";"6732";"11464"
"1463859844.1299";"ни одного";"74";"добродушный";"1006";"392";"2 года 8 месяцев";"около 148 тысяч";"127";"7 / 3";"9830";"24853";"0";"7592";"8802";"8670";"6736";"11556"
"1463903029.15236";"ни одного";"74";"добродушный";"1006";"392";"2 года 8 месяцев";"около 148 тысяч";"127";"7 / 3";"9833";"24853";"0";"7525";"8746";"8599";"6702";"11948"
"1463946237.02849";"ни одного";"74";"добродушный";"1006";"392";"2 года 8 месяцев";"около 148 тысяч";"127";"7 / 3";"9834";"24853";"0";"7586";"8793";"8680";"6748";"12501"
"1463989429.34378";"ни одного";"74";"добродушный";"1006";"392";"2 года 8 месяцев";"около 148 тысяч";"127";"7 / 3";"9841";"24853";"0";"7510";"8761";"8561";"6712";"12891"
"1464032633.98529";"ни одного";"74";"добродушный";"1006";"392";"2 года 8 месяцев";"около 148 тысяч";"127";"7 / 3";"9847";"24853";"0";"7577";"8803";"8648";"6759";"13436"
"1464075831.19415";"ни одного";"74";"добродушный";"1006";"392";"2 года 8 месяцев";"около 148 тысяч";"127";"7 / 3";"9850";"24853";"0";"7530";"8738";"8586";"6732";"13765"
"1464119029.72816";"ни одного";"74";"добродушный";"1006";"392";"2 года 8 месяцев";"около 148 тысяч";"127";"7 / 3";"9850";"24853";"0";"7585";"8785";"8696";"6772";"14309"
"1464162229.15215";"около 5 тысяч";"74";"добродушный";"1010";"392";"2 года 8 месяцев";"около 148 тысяч";"128";"7 / 3";"9824";"24853";"0";"7511";"8693";"8709";"6687";"14669"
"1464205433.54715";"около 5 тысяч";"74";"добродушный";"1010";"392";"2 года 8 месяцев";"около 148 тысяч";"128";"7 / 3";"9831";"24853";"0";"7588";"8756";"8815";"6733";"13367"
"1464248628.40991";"около 5 тысяч";"74";"добродушный";"1010";"392";"2 года 8 месяцев";"около 148 тысяч";"128";"7 / 3";"9837";"24853";"0";"7494";"8669";"8670";"6692";"13720"
"1464291833.57713";"около 2 сотен";"74";"добродушный";"1011";"392";"2 года 8 месяцев";"около 148 тысяч";"129";"7 / 3";"9830";"24853";"0";"7622";"8732";"8952";"6749";"14221"
"1464335033.37856";"около 2 тысяч";"74";"добродушный";"1012";"392";"2 года 8 месяцев";"около 149 тысяч";"129";"7 / 3";"9830";"24853";"0";"7522";"8660";"8814";"6705";"14662"
