"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855272.87933";"около 4 тысяч";"73";"абсолютное добро";"1002";"388";"2 года 11 месяцев";"около 190 тысяч";"145";"8 / 2";"10634";"22121";"0";"7851";"0";"6433";"7035";"784"
"1463859137.83351";"около 5 тысяч";"73";"абсолютное добро";"1002";"388";"2 года 11 месяцев";"около 190 тысяч";"145";"8 / 2";"10630";"22121";"0";"7857";"0";"6437";"7027";"848"
"1463902323.30534";"около 5 тысяч";"73";"добродетельный";"1002";"388";"2 года 11 месяцев";"около 190 тысяч";"145";"8 / 2";"10632";"22121";"0";"7790";"0";"6391";"6982";"1300"
"1463945525.10443";"около 3 тысяч";"73";"добродетельный";"1003";"388";"2 года 11 месяцев";"около 191 тысяч";"145";"8 / 2";"10625";"22121";"0";"7728";"0";"6437";"7008";"1701"
"1463988723.0135";"около 5 тысяч";"73";"добродетельный";"1003";"388";"2 года 11 месяцев";"около 191 тысяч";"145";"8 / 2";"10623";"22121";"0";"7624";"0";"6342";"6964";"2218"
"1464031926.57941";"около 2 тысяч";"73";"добродетельный";"1005";"388";"2 года 11 месяцев";"около 191 тысяч";"145";"8 / 2";"10620";"22121";"0";"7694";"0";"6383";"7008";"1914"
"1464075121.85056";"около 3 тысяч";"73";"добродетельный";"1005";"388";"2 года 11 месяцев";"около 191 тысяч";"145";"8 / 2";"10617";"22121";"0";"7678";"0";"6336";"6975";"2128"
"1464118323.40819";"около 4 тысяч";"73";"добродетельный";"1006";"388";"2 года 11 месяцев";"около 191 тысяч";"145";"8 / 2";"10614";"22121";"0";"7740";"0";"6380";"7010";"2868"
"1464161523.09281";"около 6 тысяч";"73";"добродетельный";"1007";"388";"2 года 11 месяцев";"около 191 тысяч";"145";"8 / 2";"10608";"22121";"0";"7648";"0";"6292";"6944";"2713"
"1464204722.29641";"около 3 тысяч";"73";"добродетельный";"1007";"388";"1";"2 года 11 месяцев";"около 191 тысяч";"145";"8 / 2";"10590";"22121";"0";"7722";"24370";"6360";"6993";"2400"
"1464247921.58039";"около 17 сотен";"73";"добродетельный";"1007";"388";"1";"2 года 11 месяцев";"около 191 тысяч";"145";"8 / 2";"10589";"22121";"0";"7609";"23910";"6262";"6939";"2544"
"1464291126.83779";"около 6 тысяч";"73";"добродетельный";"1008";"388";"2";"2 года 11 месяцев";"около 191 тысяч";"145";"8 / 2";"10588";"22121";"0";"7707";"24018";"6339";"6996";"2109"
"1464334326.79252";"около 7 тысяч";"73";"добродетельный";"1009";"388";"2";"2 года 11 месяцев";"около 192 тысяч";"145";"8 / 2";"10587";"22121";"0";"7668";"23613";"6239";"6932";"2078"
