"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856342.40424";"около 5 тысяч";"71";"добродетельный";"997";"380";"42";"2 года";"около 130 тысяч";"121";"9 / 1";"12202";"27125";"0";"7463";"1112";"10645";"5579";"1984"
"1463860207.06097";"около 8 тысяч";"71";"добродетельный";"997";"380";"42";"2 года";"около 130 тысяч";"121";"9 / 1";"12201";"27125";"0";"7467";"1112";"10655";"5580";"1742"
"1463903391.8515";"около 10 тысяч";"71";"добродетельный";"999";"380";"42";"2 года";"около 130 тысяч";"121";"9 / 1";"12191";"27125";"0";"7402";"1107";"10549";"5556";"1897"
"1463946599.29649";"около 15 тысяч";"71";"добродетельный";"1000";"380";"42";"2 года";"около 130 тысяч";"121";"9 / 1";"12192";"27125";"0";"7455";"1113";"10626";"5568";"1995"
"1463989791.4272";"около 3 тысяч";"71";"добродетельный";"1000";"380";"42";"2 года";"около 130 тысяч";"121";"9 / 1";"12160";"27125";"0";"7384";"1110";"10465";"5529";"1847"
"1464032997.70964";"около 11 тысяч";"71";"добродетельный";"1000";"380";"42";"2 года";"около 130 тысяч";"121";"9 / 1";"12156";"27125";"0";"7448";"1115";"10541";"5561";"2588"
"1464076193.05902";"около 15 тысяч";"71";"добродетельный";"1003";"380";"42";"2 года";"около 130 тысяч";"122";"9 / 1";"12156";"27125";"0";"7402";"1112";"10700";"5535";"3106"
"1464119391.78851";"около сотни";"71";"добродетельный";"1003";"380";"2 года";"около 131 тысяч";"122";"9 / 1";"12158";"27125";"0";"7414";"1114";"10832";"5559";"2502"
"1464162591.06859";"около 5 сотен";"71";"добродетельный";"1004";"380";"2 года";"около 131 тысяч";"122";"9 / 1";"12154";"27125";"0";"7316";"1102";"10657";"5520";"3035"
"1464205796.64051";"около 3 тысяч";"71";"добродетельный";"1005";"380";"2 года";"около 131 тысяч";"122";"9 / 1";"12156";"27125";"0";"7392";"1106";"10767";"5562";"2038"
"1464248990.75836";"около 4 тысяч";"71";"добродетельный";"1006";"380";"2 года";"около 131 тысяч";"122";"9 / 1";"12147";"27125";"0";"7284";"1084";"10570";"5531";"2515"
"1464292195.77657";"около 4 тысяч";"71";"добродетельный";"1007";"380";"2 года";"около 131 тысяч";"122";"9 / 1";"12145";"27125";"0";"7373";"1086";"10683";"5586";"3153"
"1464335401.6844";"около 10 тысяч";"71";"добродетельный";"1008";"380";"2 года";"около 131 тысяч";"122";"9 / 1";"12144";"27125";"0";"7285";"1074";"10563";"5551";"2396"
