"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.taming";"p.alignment"
"1463853573.35204";"около 16 сотен";"59";"нейтральный";"7";"332";"";"4 года 11 месяцев";"около 97 тысяч";"50";"117 / 200";"10062";"11261";"0";"0"
"1463857430.76603";"около 16 сотен";"59";"нейтральный";"7";"332";"";"4 года 11 месяцев";"около 97 тысяч";"50";"117 / 200";"10062";"11262";"0";"0"
"1463900628.55674";"около 16 сотен";"59";"нейтральный";"7";"332";"";"4 года 11 месяцев";"около 97 тысяч";"50";"117 / 200";"10062";"11265";"0";"0"
"1463943831.36778";"около 16 сотен";"59";"нейтральный";"7";"332";"";"4 года 11 месяцев";"около 97 тысяч";"50";"117 / 200";"10062";"11270";"0";"0"
"1463987028.67401";"около 16 сотен";"59";"нейтральный";"7";"332";"";"4 года 11 месяцев";"около 97 тысяч";"50";"117 / 200";"10062";"11273";"0";"0"
"1464030228.69764";"около 16 сотен";"59";"нейтральный";"7";"332";"";"4 года 11 месяцев";"около 97 тысяч";"50";"117 / 200";"10062";"11276";"0";"0"
"1464073428.90764";"около 16 сотен";"59";"нейтральный";"7";"332";"";"4 года 11 месяцев";"около 97 тысяч";"50";"117 / 200";"10062";"11278";"0";"0"
"1464116628.32502";"около 16 сотен";"59";"нейтральный";"7";"332";"";"4 года 11 месяцев";"около 97 тысяч";"50";"117 / 200";"10062";"11289";"0";"0"
"1464159828.50884";"около 16 сотен";"59";"нейтральный";"7";"332";"";"4 года 11 месяцев";"около 97 тысяч";"50";"117 / 200";"10062";"11290";"0";"0"
"1464203027.79438";"около 16 сотен";"59";"нейтральный";"7";"332";"";"4 года 11 месяцев";"около 97 тысяч";"50";"117 / 200";"10062";"11291";"0";"0"
"1464246228.3112";"около 16 сотен";"59";"нейтральный";"7";"332";"";"4 года 11 месяцев";"около 97 тысяч";"50";"117 / 200";"10062";"11293";"0";"0"
"1464289428.48515";"около 16 сотен";"59";"нейтральный";"7";"332";"";"4 года 11 месяцев";"около 97 тысяч";"50";"117 / 200";"10062";"11301";"0";"0"
"1464332629.13588";"около 16 сотен";"59";"нейтральный";"7";"332";"";"4 года 11 месяцев";"около 97 тысяч";"50";"117 / 200";"10062";"11304";"0";"0"
