"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.taming";"p.alignment"
"1463853958.33962";"около 3 тысяч";"84";"нейтральный";"912";"432";"";"5 лет 11 месяцев";"около 282 тысяч";"179";"88 / 115";"4496";"6056";"14666";"0";"0"
"1463857814.30647";"около 3 тысяч";"84";"нейтральный";"912";"432";"";"5 лет 11 месяцев";"около 282 тысяч";"179";"88 / 115";"4496";"6056";"14667";"0";"0"
"1463901011.98854";"около 3 тысяч";"84";"нейтральный";"912";"432";"";"5 лет 11 месяцев";"около 282 тысяч";"179";"88 / 115";"4498";"6056";"14669";"0";"0"
"1463944215.2245";"около 3 тысяч";"84";"нейтральный";"912";"432";"";"5 лет 11 месяцев";"около 282 тысяч";"179";"88 / 115";"4499";"6056";"14673";"0";"0"
"1463987412.44634";"около 3 тысяч";"84";"нейтральный";"912";"432";"";"5 лет 11 месяцев";"около 282 тысяч";"179";"88 / 115";"4500";"6056";"14674";"0";"0"
"1464030614.01329";"около 3 тысяч";"84";"нейтральный";"912";"432";"";"5 лет 11 месяцев";"около 282 тысяч";"179";"88 / 115";"4503";"6056";"14685";"0";"0"
"1464073812.5453";"около 3 тысяч";"84";"нейтральный";"912";"432";"";"5 лет 11 месяцев";"около 282 тысяч";"179";"88 / 115";"4505";"6056";"14685";"0";"0"
"1464117012.80746";"около 3 тысяч";"84";"нейтральный";"912";"432";"";"5 лет 11 месяцев";"около 282 тысяч";"179";"88 / 115";"4507";"6056";"14693";"0";"0"
"1464160212.37401";"около 3 тысяч";"84";"нейтральный";"912";"432";"";"5 лет 11 месяцев";"около 282 тысяч";"179";"88 / 115";"4508";"6056";"14699";"0";"0"
"1464203412.03381";"около 3 тысяч";"84";"нейтральный";"912";"432";"";"5 лет 11 месяцев";"около 282 тысяч";"179";"88 / 115";"4509";"6056";"14702";"0";"0"
"1464246612.01044";"около 3 тысяч";"84";"нейтральный";"912";"432";"";"5 лет 11 месяцев";"около 282 тысяч";"179";"88 / 115";"4510";"6056";"14705";"0";"0"
"1464289812.18931";"около 3 тысяч";"84";"нейтральный";"912";"432";"";"5 лет 11 месяцев";"около 282 тысяч";"179";"88 / 115";"4515";"6056";"14707";"0";"0"
"1464333012.621";"около 3 тысяч";"84";"нейтральный";"912";"432";"";"5 лет 11 месяцев";"около 282 тысяч";"179";"88 / 115";"4516";"6056";"14713";"0";"0"
